,Rooms,Type,Price,Method,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname
0,2,h,1035000.0,S,2.5,1.0,0.0,156.0,79.0,124.0,Northern Metropolitan
1,3,h,1465000.0,SP,2.5,2.0,0.0,134.0,150.0,124.0,Northern Metropolitan
2,4,h,1600000.0,VB,2.5,1.0,2.0,120.0,142.0,10.0,Northern Metropolitan
3,3,h,1876000.0,S,2.5,2.0,0.0,245.0,210.0,114.0,Northern Metropolitan
4,2,h,1636000.0,S,2.5,1.0,2.0,256.0,107.0,134.0,Northern Metropolitan
5,2,h,1097000.0,S,2.5,1.0,2.0,220.0,75.0,124.0,Northern Metropolitan
6,3,h,1350000.0,VB,2.5,2.0,2.0,214.0,190.0,19.0,Northern Metropolitan
7,2,u,750000.0,S,2.5,2.0,1.0,0.0,94.0,15.0,Northern Metropolitan
8,2,h,1310000.0,S,2.5,1.0,2.0,238.0,97.0,134.0,Northern Metropolitan
9,3,h,1200000.0,S,2.5,2.0,1.0,113.0,110.0,144.0,Northern Metropolitan
10,3,h,1176500.0,S,2.5,1.0,1.0,138.0,105.0,134.0,Northern Metropolitan
11,2,h,890000.0,S,2.5,1.0,1.0,150.0,73.0,39.0,Northern Metropolitan
12,4,h,1330000.0,PI,2.5,2.0,2.0,780.0,135.0,124.0,Northern Metropolitan
13,2,u,500000.0,S,2.5,1.0,1.0,0.0,60.0,54.0,Northern Metropolitan
14,2,h,1100000.0,PI,2.5,2.0,1.0,124.0,135.0,11.0,Northern Metropolitan
15,2,h,1315000.0,S,2.5,1.0,0.0,147.0,85.0,124.0,Northern Metropolitan
16,3,h,1447500.0,PI,2.5,3.0,1.0,166.0,174.0,12.0,Northern Metropolitan
17,2,h,1135000.0,S,2.5,2.0,2.0,98.0,128.0,104.0,Northern Metropolitan
18,3,h,1290000.0,S,2.5,1.0,1.0,168.0,124.0,74.0,Northern Metropolitan
19,1,u,470000.0,S,2.5,1.0,1.0,0.0,50.0,11.0,Northern Metropolitan
20,2,h,1180000.0,S,2.5,1.0,0.0,162.0,91.0,124.0,Northern Metropolitan
21,3,h,1195000.0,SP,2.5,2.0,1.0,120.0,128.0,26.0,Northern Metropolitan
22,2,h,1012500.0,S,2.5,1.0,0.0,182.0,82.0,124.0,Northern Metropolitan
23,2,h,1030000.0,S,2.5,1.0,1.0,172.0,81.0,94.0,Northern Metropolitan
24,3,t,840000.0,PI,13.5,2.0,1.0,303.0,225.0,8.0,Western Metropolitan
25,3,h,730000.0,VB,13.5,2.0,1.0,0.0,145.0,59.0,Western Metropolitan
26,3,h,770000.0,SP,13.5,2.0,1.0,0.0,145.0,59.0,Western Metropolitan
27,2,h,603000.0,S,13.5,1.0,1.0,272.0,84.0,74.0,Western Metropolitan
28,3,t,700000.0,S,13.5,2.0,2.0,239.0,134.0,15.0,Western Metropolitan
29,3,h,600000.0,S,13.5,1.0,1.0,290.0,116.0,44.0,Western Metropolitan
30,2,u,500000.0,VB,13.5,1.0,1.0,168.0,86.0,13.0,Western Metropolitan
31,6,h,725000.0,SP,13.5,3.0,2.0,976.0,186.0,44.0,Western Metropolitan
32,2,t,450000.0,S,13.5,1.0,1.0,110.0,90.0,9.0,Western Metropolitan
33,2,u,515000.0,S,13.5,1.0,1.0,141.0,73.0,11.0,Western Metropolitan
34,2,u,530000.0,S,13.5,1.0,1.0,120.0,94.0,12.0,Western Metropolitan
35,3,h,895000.0,PI,13.5,1.0,6.0,1063.0,133.0,49.0,Western Metropolitan
36,3,h,805000.0,S,13.5,1.0,1.0,0.0,105.0,74.0,Western Metropolitan
37,3,u,752000.0,S,13.5,1.0,1.0,265.0,130.0,31.0,Western Metropolitan
38,3,t,700000.0,PI,13.5,2.0,2.0,165.0,133.0,15.0,Western Metropolitan
39,3,h,830000.0,S,13.5,1.0,2.0,971.0,113.0,64.0,Western Metropolitan
40,2,h,675000.0,S,13.5,1.0,1.0,612.0,100.0,49.0,Western Metropolitan
41,3,h,1042000.0,S,13.5,2.0,5.0,612.0,174.0,74.0,Western Metropolitan
42,4,h,773000.0,S,13.5,3.0,4.0,531.0,309.0,44.0,Western Metropolitan
43,3,h,810000.0,PI,13.5,3.0,2.0,555.0,192.0,44.0,Western Metropolitan
44,3,h,715000.0,S,13.5,2.0,2.0,422.0,126.0,29.0,Western Metropolitan
45,3,t,540000.0,SP,13.5,2.0,1.0,161.0,101.0,14.0,Western Metropolitan
46,3,t,825000.0,SP,13.5,2.0,1.0,293.0,102.0,64.0,Western Metropolitan
47,3,h,685000.0,S,13.5,1.0,1.0,579.0,113.0,49.0,Western Metropolitan
48,4,h,900000.0,S,13.5,2.0,3.0,628.0,146.0,49.0,Western Metropolitan
49,2,h,1275000.0,S,3.3,1.0,0.0,120.0,82.0,124.0,Southern Metropolitan
50,3,h,2850000.0,PI,3.3,2.0,0.0,211.0,198.0,134.0,Southern Metropolitan
51,3,h,1850000.0,S,3.3,2.0,0.0,128.0,133.0,134.0,Southern Metropolitan
52,2,h,1436000.0,S,3.3,1.0,0.0,130.0,81.0,124.0,Southern Metropolitan
53,4,h,2300000.0,S,3.3,2.0,1.0,153.0,180.0,144.0,Southern Metropolitan
54,3,h,1800000.0,VB,3.3,2.0,1.0,132.0,159.0,28.0,Southern Metropolitan
55,2,h,2120000.0,S,3.3,1.0,1.0,199.0,107.0,124.0,Southern Metropolitan
56,3,h,1800000.0,S,3.3,2.0,1.0,90.0,122.0,124.0,Southern Metropolitan
57,3,h,2615000.0,S,3.3,2.0,1.0,177.0,181.0,144.0,Southern Metropolitan
58,3,h,1370000.0,S,3.3,2.0,2.0,0.0,85.0,24.0,Southern Metropolitan
59,2,h,1322500.0,S,3.3,1.0,0.0,149.0,98.0,134.0,Southern Metropolitan
60,2,h,1562500.0,S,3.3,1.0,0.0,141.0,83.0,134.0,Southern Metropolitan
61,3,h,2000000.0,VB,3.3,2.0,1.0,211.0,147.0,124.0,Southern Metropolitan
62,3,h,3010000.0,S,3.3,2.0,0.0,147.0,146.0,134.0,Southern Metropolitan
63,4,h,2800000.0,VB,3.3,3.0,1.0,327.0,254.0,114.0,Southern Metropolitan
